crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21
13,3,0.2395963033,0.0900187618,0.4812423722,0.2591234826,0.3747226911,0.2659463015,-0.094429908,-0.1946851674,-0.3034615571,-0.094429908,-0.0242111538,0.0177131938,0.2176773561,0.3495914718,-0.2005712437,0.0121316052,-0.0917948541,0.2408150821,-0.2009914212,0.1264895834,-0.1329875434,-0.4065371721,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
14,1,0.239509213,-0.1913997548,0.208977441,-0.1685345434,-0.2995563106,0.0355984447,0.3034162564,-0.0566188094,-0.1003879148,-0.5793939965,-0.3990545044,-0.2195286013,-0.1163739328,0.0143699924,-0.4089064283,0.0342084621,0.1672113289,0.0145544235,0.1978516269,0.2591700961,0.0800675471,-0.2676698745,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15,3,0.2394790302,-0.2638087225,-0.4151711057,-0.2151170039,-0.2854202723,0.0763020858,-0.1188235241,-0.0246144974,0.08056549,-0.5205236546,-0.0303061733,-0.1801740766,0.1950834657,-0.0189228215,0.3413050567,0.1780827874,0.2357568032,0.0649253276,-0.1188235241,0.215014202,-0.4037943475,-0.2151170039,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
16,4,0.2391610858,-0.3452428472,0.2266123871,-0.2597403579,0.3155411381,-0.1095740479,-0.3155739607,-0.3452428466,-0.0453203438,0.2772271956,-0.1844588615,-0.2091339081,-0.3740459839,0.0265389561,0.0906460219,0.0087434185,0.0209098242,-0.4093539777,0.0087434185,0.4992319959,-0.4093539779,0.0087434183,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1
17,0,0.2386084856,0.0281132989,-0.1985940843,0.0387940004,-0.3971408146,-0.0723100607,0.2147125096,0.3946417079,-0.0334400856,-0.2183384941,-0.2440033712,0.3477453611,0.0478638967,0.1886319061,0.1121559255,0.3634542274,0.2253831297,0.3730828943,-0.0344182992,-0.1488227545,0.060263199,-0.320959495,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0,0.2385983191,0.2871276,-0.0512048227,-0.3527278393,0.1469308469,0.0329930093,0.3042078034,-0.265725329,0.0862818549,-0.2585283587,0.1202443595,0.3072371162,-0.085546268,-0.0706457281,-0.2639586438,0.0005033104,0.4709452593,-0.39215982,0.0343007543,-0.387107905,0.032146299,0.2002285844,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,0.2380131136,0.4363111756,0.0862058813,-0.0065324712,-0.1390648363,-0.2694089508,-0.0777736611,-0.2552368176,-0.0673446414,0.3372866448,-0.1667375456,0.2698985689,-0.1943825435,0.0759932217,0.2630523084,0.2493919031,0.3066609986,-0.367301723,0.0576754335,0.1540524244,-0.0346478628,-0.3702979749,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20,2,0.2379405336,-0.1562056404,0.0303107142,0.1410287778,-0.1598295518,0.266530821,-0.2873224755,0.2073867146,0.4979030296,-0.0921766197,0.0160545884,0.4278522118,0.3378788769,-0.3383076724,-0.3740966123,-0.0314715248,0.3084236305,0.0522041893,0.0405144065,0.0429249048,-0.1552852171,-0.3734891587,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
21,0,0.2377327336,-0.4108092238,0.0266903228,-0.1481315094,-0.0025497118,0.2511604266,0.1703999859,0.2656539279,-0.3839824576,-0.1441837963,-0.0323374809,-0.2159323012,-0.4743771878,0.2528545495,-0.139017941,0.2631195383,-0.2744462706,-0.4123740603,-0.0269084789,0.1536028319,0.1718692714,-0.2716370809,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,2,0.2374090084,-0.2004870726,0.0796113159,-0.2025888636,0.4832786001,-0.4074826767,0.0668927793,-0.0172422084,0.4276328737,0.063408297,-0.1013965038,-0.1293535782,0.2121000334,0.216305639,-0.2421913126,-0.2892762145,0.2645962443,0.1137676665,0.3920820889,0.3496829659,0.1588460419,-0.0728698861,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0,0.2373133397,-0.3328416372,0.0228153278,-0.0561236423,-0.2839781246,-0.4469231826,-0.1033314165,0.2160218754,-0.1117117769,0.0042817598,0.1671583628,0.4185497127,-0.0429260144,-0.0131931162,-0.0293174798,-0.4030782189,-0.1021543544,0.2333854776,0.3012474177,-0.1021543544,-0.2920204371,0.3068097068,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,3,0.2371887404,0.2364171567,-0.4344019943,0.0684133823,-0.0559385711,0.3128007274,0.3608049068,0.4587904666,0.0653035815,0.0550201392,-0.0866579234,-0.2421890436,-0.220914578,0.0630748907,-0.1445915366,0.401574606,-0.0321795216,0.2139421154,-0.1025486048,-0.3154876559,-0.3311725832,0.1849830416,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
25,3,0.2371670376,-0.1855644517,0.3940475703,0.0943688022,-0.169147036,-0.0841097336,0.2006610564,0.4900192631,0.1479240956,-0.1488802965,-0.1149702947,0.3284915012,-0.3700789661,0.0454825238,-0.092690378,-0.2222495623,0.1180233632,0.2062334004,0.441963442,0.2540465058,-0.4637229034,-0.0128964026,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
26,5,0.2371536176,0.2823541919,-0.2477475731,0.3127415128,-0.1275020212,-0.4695692546,-0.0090023622,-0.2330641433,-0.2085645055,0.3727050032,-0.3639700914,0.0866508997,0.0253163869,0.0355914565,-0.1393579561,-0.3078808816,0.1219402975,0.1395791013,0.090901969,-0.0408476155,0.1943231586,0.5330224696,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1
27,4,0.2371058307,-0.1744097469,-0.390900146,0.0468724553,-0.3767322216,0.1003856432,0.0360191899,0.3328434108,-0.1530430221,-0.2651328149,-0.2068075357,-0.208178558,-0.3895217522,-0.0487741979,-0.1110171119,0.4084770678,0.0692923105,0.2002988944,-0.0902985869,0.3517500425,-0.2530362527,0.1980308633,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
28,2,0.2370910125,0.2146297803,0.2679304717,-0.2405363791,-0.0755165468,-0.3354965758,0.0134221441,0.2090957523,-0.2363992172,-0.3526709391,-0.191806889,-0.0210115162,-0.4858392661,0.1099983936,0.0482130819,0.2212675151,-0.2909042477,0.2636007828,-0.1197461829,0.4937080514,-0.1373018585,0.0134221441,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,6,0.2370869973,-0.1541715202,-0.2842294357,0.2492427326,-0.0436886879,0.1483710403,0.0895826272,0.4010698959,-0.0679291977,0.1694126799,-0.3619420849,-0.088079148,-0.2407965783,0.089553465,-0.1709110017,-0.3596731096,-0.3359181233,0.4522207526,-0.127484843,0.2125863268,-0.4649473937,-0.0086083117,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
30,4,0.2370156895,0.0620771487,-0.4087416061,-0.0751120856,-0.1209336376,0.2819382318,0.2879667693,-0.4742383726,-0.0944207108,0.1973566837,0.1914154946,0.1085866555,-0.0704238631,-0.2407897914,-0.0274222792,-0.2097289566,-0.0150085836,-0.1780279377,0.3317475234,-0.0142752945,-0.0523838939,-0.6253896942,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
31,3,0.2369265337,-0.1950717534,0.2240517108,-0.3628287038,0.128381653,0.4001535925,-0.0159476742,0.4811324598,0.0474027857,-0.0159476742,-0.3236786909,0.459440113,0.1131386677,-0.1719162803,-0.1169928187,0.2617853598,0.0690951325,-0.1477860636,-0.1450340162,0.1455280642,0.2004515258,0.4134260729,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,0.2368813664,-0.28063633,-0.2495576817,-0.3051346246,0.1848435683,0.1548956473,-0.1398794867,-0.2747267631,0.2190157674,-0.2354558836,0.4927619733,-0.048964486,0.1569006154,-0.1888564143,0.3822885902,0.2009148253,0.3071320735,-0.3879639061,-0.1170921959,-0.0534438303,-0.1742391381,0.1037196428,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
33,2,0.2368011243,-0.1507137667,0.2519986988,0.0417957389,0.1602714009,-0.2075002758,-0.0817223384,0.4894918239,0.0386322993,0.2638809758,0.1133633353,-0.3755715577,0.3585625326,0.1004542751,0.1721980005,0.498634206,0.3051275031,0.3344851404,-0.0567121988,0.072261219,0.0724311609,-0.4534637656,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
34,4,0.236760471,0.2820275776,-0.0141674208,0.276688553,-0.0907605118,-0.1474072147,0.016884241,0.4773923016,-0.3367026691,-0.0266740086,-0.4048539313,0.2007515214,-0.0490922783,0.2141327558,-0.1018793271,-0.3425450144,0.1692992163,0.3462845051,-0.1963902478,0.1747634258,0.4469270773,0.2662795025,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
35,2,0.2366057309,0.2818919599,-0.023390397,0.4788670474,-0.2067890897,0.0158719846,0.4662213671,0.1720712863,0.0791061012,-0.3768627731,0.0925342358,-0.3033720286,0.1476827694,-0.4312627934,-0.1023442336,-0.1933933988,-0.0261747141,0.1437159521,0.0479350356,0.4340671128,0.2334023247,0.1116759411,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
36,4,0.2365323708,0.1198865769,0.4807326909,-0.1264194275,0.3638345718,-0.159155153,-0.3124271173,-0.4296258931,0.1813119075,-0.0570570897,0.2994014764,-0.2491374383,0.2420062865,0.0174211708,0.0333038558,-0.0119706268,-0.2661998766,-0.3350555783,0.0755546762,-0.1696658063,-0.2116787242,-0.3708191302,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
37,3,0.2365072181,-0.3365891358,0.0543264939,-0.001222173,-0.1608869121,-0.4284105904,-0.0384590597,0.0393896267,0.2210684108,0.2324009427,0.3818676356,0.4613297203,0.0116613371,0.193788693,-0.1488306459,-0.1791108519,0.0931239349,0.290735829,-0.3219064317,0.1327627148,-0.2400860346,0.2809879862,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
38,4,0.2364228164,-0.2145274414,-0.3805659216,0.0602089327,0.2520168524,-0.3592378442,-0.0137135098,0.0957097361,-0.0575023558,0.3610532883,0.3876585734,0.0797738747,-0.1253066399,-0.0618957826,0.1786251851,-0.0170832973,-0.1837356231,-0.1392464498,-0.3452534809,-0.4361613706,-0.0369546593,0.2976803926,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1
39,4,0.2363050755,-0.3094896324,0.0565657897,-0.2423679834,0.0331707461,-0.2115063132,-0.0577560454,0.0184580638,0.0089239384,0.6607642069,-0.2362172049,0.069834797,0.2673296763,0.0907468067,0.3315603361,0.048344215,0.2317630998,0.1082293381,-0.3435716247,0.3003095284,-0.0213762459,0.2826081469,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
40,3,0.2362717929,0.1859353084,-0.0477601416,-0.5206098477,-0.0052952926,-0.0893023998,0.0806512912,0.4704448913,0.0513438459,-0.0504502626,-0.0862292772,-0.3623516658,-0.2964312318,-0.1931758666,0.1812193987,-0.3558660232,-0.0467209507,0.102254893,0.5106363595,0.1295645427,0.3625938747,0.0506509152,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
41,3,0.2361980307,0.1864732319,0.4678452295,-0.2319263692,0.0547719537,-0.0628694312,-0.3479428476,0.1029726557,0.3316950406,0.2701763918,0.3820196288,-0.1538923776,-0.0196414293,0.1117170308,-0.2054695629,0.3643303644,-0.2169213238,-0.4034955736,-0.0224563657,-0.2025174917,0.0661200777,0.0266527834,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
42,3,0.2361967423,0.3485023648,-0.2997217769,0.1599090529,-0.1079578871,-0.1607598304,0.02002965,0.1185795377,0.2487102502,0.2377909829,-0.4224978648,0.1452212192,0.1949462133,-0.1626241412,0.3897525725,-0.1146110017,0.2759865301,-0.0361725683,-0.2253686037,-0.1211426094,-0.0751237023,0.4844090434,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
43,2,0.2361469137,0.2388116868,0.0832828205,-0.0541041246,0.4364750372,-0.3031336776,0.1563707351,-0.3350035395,-0.2281811082,-0.2501037793,-0.1463703913,0.4756262036,0.1661856659,-0.3732389478,0.3027645794,-0.210259518,0.1161192005,-0.3529846122,-0.1870655497,-0.1631963034,-0.0525568869,0.1532569353,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
44,4,0.2361347929,-0.3129406162,-0.2401335713,-0.3157919906,0.4985190928,0.0459441194,0.0887829595,0.1636727022,-0.1913648714,-0.2468226338,0.2224085316,0.3519585003,-0.1417744484,-0.188250501,0.486615745,0.0486596533,-0.1849068517,0.2139576063,-0.3369371843,-0.0502496071,-0.0751256312,0.1578553201,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
45,2,0.2361345252,0.3252382479,-0.1364739568,-0.3504676494,-0.1773365456,-0.0240961103,-0.2421217383,0.1019062212,-0.1398662208,0.2426557896,0.4621297567,0.0894953191,0.0409868911,-0.1742101687,-0.4694952815,-0.0851253686,0.1495703829,0.3018234832,-0.3418530515,0.3616402518,-0.4508691919,5.8507e-05,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
46,3,0.2361111557,-0.2170795172,0.0707102623,0.2174589824,-0.213258071,-0.3022124299,-0.3277769539,-0.0588254908,-0.3465279506,0.3719317899,0.3595139265,-0.1220030592,0.0395768269,0.1575803961,0.452666905,0.0033674162,-0.0930934228,0.1489911706,-0.257280999,-0.3753093238,0.4879629161,0.0630003708,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,3,0.23610252,0.2218426106,-0.3053929931,-0.1880458306,-0.0800715821,0.0728582763,-0.1149670666,0.2049336074,0.0237459593,0.3566867695,0.1453089571,0.4722161092,0.221420271,-0.3639518846,0.3857885028,0.0958984049,-0.4382416368,-0.1479001194,0.0994100368,0.3417756788,0.2413233841,-0.2439709264,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
48,4,0.2359733461,0.060670219,-0.2247246936,-0.1152928228,0.1670318512,0.0520461523,0.3290964135,-0.2580872801,0.3020464973,0.0530923708,-0.4247219247,-0.1290473096,-0.0424309511,0.2782016449,0.3730633715,0.0014946702,-0.0763434167,0.1565041727,-0.357419846,-0.0801944378,-0.3497954984,0.3174289384,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
49,4,0.2358043856,0.3041155658,0.4672198468,0.1375570148,-0.494955879,0.0094914874,-0.150914902,-0.1418735671,0.2411442535,0.1602547341,0.0703650957,0.4885901282,-0.2714892686,-0.2575293008,-0.3045611613,0.1087279045,0.1321509401,-0.1174079745,0.2972426987,0.0378545158,-0.0542018379,-0.1604995888,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
50,4,0.2357691734,0.213713435,0.2504494266,-0.0268893793,-0.2253606885,0.4657953305,0.2087092819,0.3743300377,-0.243353998,0.1313103619,-0.3373684745,0.1930528752,-0.1592774319,0.0541686037,-0.4027807626,-0.3037369146,0.0931949661,0.1939818505,0.4254767602,-0.0741322835,-0.1014471845,0.0982586533,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1
51,4,0.2357647204,-0.0981780406,-0.2648201103,0.1746137301,0.2805234739,0.1185282944,0.262776672,-0.1667266505,0.2612555215,0.2187735072,0.0875009875,0.4262081993,-0.1424728571,0.4546958713,-0.3510931603,0.0522403847,-0.4423974472,0.0770188135,-0.1164912551,0.0043110856,-0.0310825874,-0.2218743063,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
52,3,0.235743184,0.0199106832,0.3384104389,-0.0930997786,-0.2055128762,-0.1974917098,-0.3918237422,-0.0663513427,-0.0573659346,0.4133637376,0.3424572267,-0.0949321182,-0.3055109533,-0.3221022414,-0.3361606617,0.0434660888,-0.389642756,0.1293380224,0.0110832349,0.2140043649,-0.281799896,0.1078650151,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
53,5,0.2356913951,0.2861132714,0.2131449574,0.347003066,0.3403413801,0.2731053578,-0.173466375,-0.1184407611,0.4480003411,0.017772104,0.3201988779,-0.2668586896,-0.2742777678,-0.384708201,-0.0540577102,0.0254515202,-0.0800540951,0.1651216314,-0.3573383257,0.0738447542,-0.1302811356,0.1036877762,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1
54,4,0.2356693627,0.3347288738,-0.4259743746,-0.1613505038,-0.0352634201,-0.4557228879,0.3568383921,-0.1481529546,-0.2021288492,-0.0824267413,0.0013106809,0.0818979243,-0.4276072849,0.0820099591,0.137535185,0.1495507816,-0.2476344372,0.3387391964,-0.1206560131,-0.4576529794,0.0402585097,0.177608443,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
55,4,0.2356278268,-0.2974500532,-0.1375414318,-0.350548326,-0.1813160959,-0.3631493312,0.1771652659,0.1187898484,0.0586532419,-0.1104067489,0.091312477,-0.4776368112,-0.1897791022,-0.3192422165,0.0927561954,0.0600244394,0.0503590017,-0.0702593991,0.4646092223,0.363691679,-0.2420224377,0.1573601652,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
56,2,0.2356093278,-0.1119739508,-0.0590121711,-0.5586333128,0.3642773427,0.0691643856,-0.3419812112,-0.3022653497,-0.3580600288,-0.1564021327,0.0380550781,-0.0489746398,0.1505783345,-0.4948273221,-0.0128700634,0.1001340175,0.166202404,-0.3346833511,-0.201552063,-0.0502829909,0.2467885417,-0.2054659713,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,3,0.2355997601,0.0097937054,0.3087436079,0.2087581506,0.1793234637,-0.2202482072,-0.069316619,0.0156237687,0.050731311,-0.4320176845,-0.1941511006,-0.0927224671,0.3784000531,-0.2500992691,0.3490883327,-0.1822110723,0.4301863096,0.0996734155,0.1688996201,-0.2911848075,-0.1948083061,-0.0712575156,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
58,4,0.2355406914,0.041945546,0.0350672587,-0.2427966161,0.0350830819,-0.2412569542,0.2174985199,-0.3457024131,0.3692875218,0.0379162533,0.1193358172,0.302230189,0.1374038376,-0.3485517896,-0.0987137818,-0.0157897119,-0.147478905,0.1090454324,0.4741637284,0.4041449494,0.0082719643,0.3706204555,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
59,4,0.235521874,0.3842822974,0.3770342759,0.0253087755,-0.379009245,-0.1987967041,0.1040199055,-0.1527029145,0.1966314717,-0.1369997604,-0.0190673394,-0.4292017857,0.3021045731,-0.1382722616,-0.3519507967,-0.2707756938,0.1683058974,-0.1193320826,0.0008501129,-0.0931396671,0.1060149369,0.321392076,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
60,4,0.2354824548,-0.0493902166,0.4270536664,-0.2716353251,0.1533354568,-0.1441870421,0.0395991599,-0.2677069218,0.0941934984,-0.0199413222,0.3010383201,0.3022575266,0.1932765205,-0.1427228434,0.3910597094,0.323653467,-0.4210658846,-0.345605457,0.0498143481,-0.0861524522,-0.1573831509,0.4449130509,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
61,5,0.2354434133,-0.1394458667,-0.2002388291,0.4446426348,0.065319117,0.4022696986,0.2969732934,-0.2731391931,-0.3329914117,-0.0355792249,0.0292425222,-0.1574148019,-0.4644219572,-0.0446146463,0.0786346548,-0.0269238038,0.2519239541,-0.2846636274,-0.069510423,0.4128593513,-0.1043359196,0.3346134678,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
62,4,0.2354335906,0.2045679423,-0.409778561,-0.0429819147,-0.3171655414,-0.2518951467,0.1303081854,0.2263014259,-0.0676619753,0.4908347664,-0.4190825477,-0.0131279448,-0.2625264485,-0.1717815678,0.1935708228,0.1765626191,0.3624513566,0.1739345122,0.110295365,0.0466845279,0.0065083658,-0.1962591944,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
63,3,0.2353826189,0.1336763234,0.0693003847,-0.5493559731,-0.0670175385,0.0762708468,0.081320835,-0.36739552,-0.1080003173,-0.3392789459,-0.2926079755,0.348399331,-0.2513807467,0.272332034,-0.2190808129,-0.0573484625,0.2443895181,0.3245965223,-0.1696371561,0.4772618269,0.1263280526,0.1882455215,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
64,3,0.2353818342,0.208501086,-0.1092028134,-0.035876777,0.2944641775,0.3535368675,-0.045915017,-0.1865762298,0.2543839059,0.0468231989,-0.1173857186,-0.3183127479,0.2318717198,0.0114579371,-0.410666885,-0.3390464368,-0.0783004142,0.1305153838,-0.394256577,0.0969607236,0.306631055,0.4189729847,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
