crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15
21,3,0.2500000013,-0.1949595787,0.0151551039,-0.2937519323,-0.4665463728,0.0355203439,0.3428960237,0.2531718191,-0.1914787825,-0.0055089687,0.0550802844,0.265124814,0.059794689,-0.0227836594,-0.1195855438,0.5193793203,-0.2246523493,-0.3185580147,0.0818207921,0,0,2,1,0,2,0,1,1,1,0,1,0,1,1
22,2,0.25,-0.2534216138,-0.4454686792,-0.0554127845,-0.0034218616,-0.1954687311,-0.4089663869,-0.3991879828,0.0524899936,-0.1564678031,0.0058639393,0.1556357557,0.1725029339,0.1682835053,0.3148597333,-0.3081709743,0.2441754424,-0.3010940482,0.0533883972,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,0.25,-0.4834735698,-0.1316445351,-0.2568049333,-0.447871174,0.317655665,0.1429614349,0.0359055513,0.1157552563,-0.0381761822,-0.2140944548,-0.1342447377,0.3153772083,0.0359055454,-0.3842447437,-0.0381761779,0.2859055452,-0.1342447436,0.3153772127,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
24,4,0.25,-0.0372850295,-0.0666288175,0.3856631515,-0.1730116915,0.0690632721,-0.1295172238,0.3295097817,-0.0641080245,-0.2254537655,-0.0397989571,-0.4334650858,-0.2254910784,0.2102010253,0.3165349136,0.1280623242,-0.4204902298,-0.3141080115,0.1280996425,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
25,6,0.25,0.3739819904,0.2000200294,-0.270518242,0.1239819916,0.4500200216,0.083035155,-0.2453550479,0.0807306744,0.0829840625,-0.3785779226,-0.4167162153,-0.0130189082,-0.1285779204,0.3332837854,-0.3665722978,0.0046449528,-0.1692693342,-0.2705693215,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
26,2,0.25,0.1211199344,-0.2582485164,-0.4117769348,0.1211199344,0.2417514836,0.2953298464,0.3711256042,-0.2283815546,0.0444663309,0.3711211146,0.3138305738,-0.1609140606,-0.1288788854,0.2716183732,-0.1609140689,-0.1288743958,-0.1861694911,0.0444663391,2,0,0,0,0,0,0,0,0,1,1,2,2,1,1
27,6,0.25,0.021123065,-0.1594751795,0.4022078138,0.2711230648,0.0905248205,0.0486544231,0.123393588,-0.4106709077,-0.0566409152,0.0232390914,0.1961042933,-0.4055121066,-0.2359718833,-0.0631066807,-0.0649850008,-0.1291962205,0.3367392831,0.2932499326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,0.25,-0.0615600596,-0.0916063533,-0.2622127545,-0.3115600596,-0.3416063463,0.0913406411,0.1884399374,0.1583936497,0.0913406361,-0.0615600556,-0.0916063503,0.4448940316,0.4384399404,-0.0916063503,-0.2622127524,0.1884399404,-0.3416063503,0.0913406382,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2
29,3,0.25,-0.2488655031,-0.2193613607,-0.0383725848,0.2511344842,0.2806386266,-0.038372586,-0.4988655108,0.0306386324,0.3151808052,0.2511344969,-0.2193613734,-0.0383725867,-0.2488655158,0.2806386393,-0.0383725841,0.0011344919,-0.4693613666,0.3151808052,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2
30,5,0.25,-0.2408293533,0.117529086,0.1182950107,0.0091706466,-0.132470914,0.4718484013,0.2596386985,0.2413621593,0.2054820018,0.1353628444,0.1170201893,-0.5015796215,0.3563857155,-0.1253360843,-0.1221313757,0.001995643,-0.479662677,-0.1221783977,2,0,0,0,0,0,0,0,0,0,1,2,2,1,1
31,7,0.25,-0.0205715951,0.3409076626,0.0153071582,-0.0205715954,-0.1590923374,0.0153076116,-0.4795959594,0.014308727,0.2539303223,-0.0615472467,0.1675066284,0.4837910778,-0.4795946503,0.1675052507,-0.2233132723,-0.0615485477,0.0143100444,-0.4531785882,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,0.2499881523,-0.0860051629,-0.3744983684,-0.2543800858,-0.0860052273,0.1255016357,0.4527266937,0.1691580627,0.1617821202,-0.0835983452,-0.3360051913,0.0509002275,-0.3350790666,-0.3360051946,-0.1566234897,0.1197947752,-0.3360051986,0.3410706713,0.0720786654,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,0.2497441835,-0.3177344912,-0.0924530534,-0.2788952105,0.4322655088,0.1575469466,0.0746581801,-0.16819336,0.4050617223,-0.1715176647,0.0838895378,0.1529786552,-0.5221252763,0.1931067402,-0.2502917367,-0.1584935267,-0.071611837,0.0144272967,0.1721672316,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,0.2489295556,0.2999222369,-0.1948598957,0.3108397672,-0.2000777742,-0.1948598379,0.1611890828,0.4459255478,0.0067560186,-0.1750893993,0.1539189038,-0.3964756944,-0.1750893993,0.0636606013,0.2267413839,0.1375633846,0.0361838503,-0.1164610596,-0.5695433966,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
35,1,0.2436205892,-0.0464034732,-0.3436761806,0.3993587763,-0.125522456,-0.0782636252,-0.2354163653,-0.0995795951,0.2922107725,0.0799875893,0.4795393869,-0.4732017838,0.007655951,0.244951972,-0.0523207433,0.0799875521,-0.3909350401,0.0008553351,0.3993588136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,3,0.2430572857,-0.0530919759,-0.3985279926,0.3324989326,-0.0335243695,0.149898885,0.1535961644,-0.0124451208,-0.2720896654,-0.1351211687,-0.0741712246,0.0234605577,0.6212162657,0.4455682034,0.0794451752,0.1110055782,-0.0321845488,0.1719257171,-0.3320172623,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
37,5,0.2430032111,-0.2253390676,0.2221598267,0.3440023303,0.009744147,0.4725472647,-0.015730483,-0.2319728089,0.2301392679,-0.3673343186,0.2694998585,0.0617807169,-0.0154936673,-0.2305336758,-0.1049972045,-0.0153631319,-0.4761351125,0.4757642182,-0.0263718635,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
38,6,0.242977111,0.0605183428,-0.2731561687,-0.1975509144,0.3093705227,-0.0221200489,0.1621232417,-0.4401477247,0.2312044578,-0.1979529182,0.0646274063,0.2171308922,0.5071033862,0.1438584188,0.1435055621,-0.4333451886,-0.0228594628,0.31018428,0.0382338726,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0
39,8,0.2429563289,-0.1479393944,0.0313244168,-0.4162176179,0.3520604945,0.0313244202,0.2908891464,0.1020605791,0.2813244522,-0.0626642689,-0.1479394655,0.0313244755,0.2908891435,-0.2312727384,-0.3853422115,0.0551868976,0.4353939283,-0.0520088781,-0.1805153628,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0
40,6,0.2425982522,-0.2662059676,0.0854324405,-0.3943993062,0.0280403227,0.0854325736,0.2614217447,-0.3447547377,-0.4145677964,0.0225398574,0.1065890937,-0.4145671898,-0.1555174191,0.1783083809,0.0854331055,-0.1999188655,-0.4164740259,0.0854319079,0.0669413039,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1
41,7,0.2416118766,-0.3886678242,0.2451997532,-0.125159265,0.1113320557,0.245200259,0.1225100108,-0.2389257379,-0.2547997539,-0.1251596502,0.2610743822,-0.2548002352,0.1225103961,0.1862034615,0.2452002422,-0.3548781628,0.1862033602,-0.2548000523,-0.3548778378,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
42,4,0.2385056964,0.1337282704,-0.454311023,-0.2167362577,0.1346743102,0.0456890602,0.4903705237,0.1456956068,0.0457901007,0.0134864814,-0.3772930003,0.0457900283,0.0134864806,0.1456959699,0.4588067473,0.2521433871,0.1227073628,-0.0411933207,-0.4549634028,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
43,6,0.2383779339,0.2191907646,-0.209429952,0.1531501072,-0.2807962757,-0.209429952,-0.323606112,-0.2807963967,-0.2094303184,0.1531497558,0.2191906565,-0.2094303184,-0.3236057606,-0.280808514,0.2034525576,-0.0852278608,0.219202569,0.2034525576,-0.085228144,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
44,8,0.2378136453,0.028745604,0.3763732916,0.3573216225,0.0287479256,-0.1236596838,0.3573235404,-0.4265877207,-0.1236314469,0.123740139,-0.0159197005,0.3763684227,-0.1162038045,-0.0159185171,-0.1236558014,-0.1162017792,-0.4265865373,0.3763435415,0.1237421643,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1
45,2,0.2370910125,-0.0351281054,-0.08548706,0.2591882288,-0.1514184349,0.2289979796,-0.2400732226,0.1630666121,0.3452883418,0.259188162,0.2793569669,0.0308032621,-0.240073207,-0.4360307328,0.129900646,0.1260198684,0.0639691869,-0.3700993392,-0.1069048878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,3,0.2369265338,0.0378384008,0.0153466637,-0.4361726571,-0.1094097313,-0.1319014684,0.2709341241,0.0857779568,0.4560606117,0.141847918,-0.0214476512,-0.4367137804,-0.3070864509,-0.445014215,-0.2849504887,-0.158439221,0.2375412484,0.0324940479,-0.0067993119,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,8,0.2359127036,-0.295296617,0.2631690102,-0.2163719722,0.2047037997,0.2632083802,-0.2162862758,-0.3093836315,0.263170147,0.2552430943,0.2187909657,-0.2368298516,0.0191197596,0.2187909704,0.2632072434,0.2553287863,-0.3093836362,-0.236792758,0.0192054513,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1
48,4,0.2357022604,-0.0964348904,0.2607365361,-0.3452570301,0.3878452472,-0.2392668377,-0.1232605962,-0.1054037155,0.4016249366,0.1192767661,-0.1044125646,-0.1707759498,0.3549860255,0.3955874382,0.3292240774,0.1192837651,-0.1044125597,-0.1707759503,-0.1164184952,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
49,8,0.2357022604,-0.1929731691,0.2483332651,0.2089776935,0.0286007308,0.4799261492,-0.1777023291,-0.3047325996,-0.1867405146,-0.1777023321,0.3619340664,0.1465928182,-0.1777023333,-0.0263065037,0.0816665972,-0.4981290849,0.1403601613,-0.0850000711,0.2089776971,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
50,3,0.2338663922,0.2169699338,0.1522102347,0.1187524975,0.4726505253,-0.1034703501,-0.177944033,0.0480201977,0.4718993284,-0.1779440269,-0.2076603911,-0.272420084,0.1187525036,-0.3430831305,0.2876329779,0.2017062914,0.1080732596,-0.1635234096,0.4462089645,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
51,5,0.2330152427,0.0709756534,-0.2578689886,-0.211914893,-0.1434189761,-0.4722636181,0.1526973864,-0.3659695479,0.1790762127,-0.211914893,0.4196358226,-0.0353184168,0.1526973864,0.0185391467,0.126639706,0.5546316997,-0.0279276707,0.0801728886,0.0932575748,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
52,3,0.232555549,-0.2563907468,-0.1831798712,0.3485391114,0.0937182697,-0.1545540999,0.0436906643,0.4846311865,0.3814684171,0.0339337446,-0.4594711184,-0.1721819251,-0.0842853922,-0.1577067376,0.1699242262,-0.1750045925,-0.1100202447,-0.385927954,-0.304569427,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
53,4,0.232195124,-0.0755779999,0.1101152385,0.0935358707,0.0928728988,-0.4448144871,0.2080887659,0.0353419977,-0.0583245657,-0.5826533018,-0.2904085694,-0.2241279928,-0.1468546266,0.2844335923,0.2027755519,-0.1847877222,0.14280737,-0.3591571435,-0.2455935796,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
54,2,0.2320739504,-0.1680597228,-0.0457901242,0.4083433925,-0.1736562257,0.1724008094,-0.0385191983,0.4385989742,0.3531613805,0.1415165199,-0.4073886747,-0.1640671916,-0.2566744198,0.1415372742,-0.1501865784,-0.1481718723,-0.1846396295,-0.381122682,0.0878586714,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,3,0.2312470761,0.001380516,-0.4753403185,-0.2180965985,0.2853871243,0.2506641521,0.1150757193,-0.0474053279,-0.2583077823,0.3910653688,0.3303120199,-0.2094416343,0.1286867386,-0.3187046282,0.489737647,0.1139076074,-0.0834500704,0.202778346,0.3899700884,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
56,2,0.2307922613,0.4107550395,0.1423826567,0.2416383691,-0.0643162341,0.4353898744,0.039495259,-0.3966971742,-0.2480443155,0.0881704541,-0.0282859489,0.0052355978,0.2029865079,0.2764864897,0.2270233293,-0.1917992673,0.1967476308,-0.2232622216,-0.1289907597,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,4,0.2307381368,0.0938689645,0.2747177366,0.0764266325,-0.4406281674,-0.173005829,-0.1481515527,-0.1600078433,-0.0719192531,0.3248543841,-0.0677349241,-0.3587171161,-0.3467020454,-0.2721065767,0.2529749192,-0.2038402123,0.1529157346,-0.2684564449,0.0484266035,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
58,5,0.2306601135,-0.161931908,0.1565446117,-0.3689666711,-0.411273634,0.2354502248,0.0581092225,-0.0439542393,-0.0408990802,0.3458536023,0.4312344127,-0.1751769425,-0.0811673585,-0.07806688,-0.4724643779,0.1864670487,0.1378583476,0.1753399621,-0.0188397094,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
59,4,0.2306514403,0.1380528394,-0.2740186037,0.3775128638,0.4091977713,-0.0523338915,0.0305406747,-0.1326666313,-0.0279439898,0.0786785461,-0.1203889315,-0.4120933624,-0.1764270501,-0.1616115401,0.0398208814,0.5340580166,0.1655661487,0.3072577779,0.185904156,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
60,5,0.2303070485,-0.1928800614,-0.1017537041,-0.4038690529,0.4824647245,0.3165159962,-0.1147810639,-0.2521191684,0.0834623875,0.2362333338,0.3408815392,-0.1191121186,0.3102636783,0.4341456022,-0.1567538427,-0.1392363346,0.0673134864,0.1180844882,-0.0938112626,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
61,4,0.2301283661,-0.1782394428,0.0767324371,-0.1345317983,0.3151788238,0.0556425881,-0.1683036493,0.1212424944,0.4690673299,-0.2257922803,0.4064165735,-0.2654250749,0.1485993143,-0.1128306221,-0.311354041,0.1041035538,-0.3838246997,0.3272328248,0.1923022843,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
62,3,0.229985471,-0.1942827607,0.3291195528,-0.1154937774,0.395627315,-0.4762624819,0.0228815632,0.0886204404,-0.1339523717,0.0108884031,0.3891020518,0.1220883984,0.2469544828,-0.3622748157,-0.0968751666,-0.0721297749,-0.1790939559,0.2520161558,0.3377143805,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
63,6,0.2298045277,-0.1178401138,-0.1350012182,0.3608792979,-0.3548516739,-0.3823294555,0.0048071286,0.1046343112,-0.3929233641,0.0038676908,0.1585319726,0.199532503,0.2093994542,0.3687485176,-0.0588442422,-0.1689770667,-0.3824511395,0.2157980202,0.2261151214,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1
64,7,0.2295470334,-0.1364110282,-0.2408423345,-0.2457680822,-0.3659579427,0.0099826196,0.1073943542,0.3635889465,0.3455421872,-0.0507898852,0.404494905,-0.2408429999,-0.24576899,0.1340420858,0.094717106,-0.403952586,-0.0955051203,0.3455419346,-0.0507909143,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0
65,5,0.2292793797,0.1558707494,-0.0471728019,-0.3932017721,-0.0811853285,0.3750796066,-0.0536435479,0.4420201078,0.219267868,-0.153610349,-0.238768494,-0.1096212244,-0.168176889,-0.4572596554,-0.019410077,0.2247603797,-0.0276737162,0.1113633867,0.3176600995,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
66,4,0.2285995264,-0.4028897363,-0.3223950956,0.0318771131,0.1346038536,-0.4820156125,0.1573669336,0.444722856,0.1821326466,0.149570298,-0.1325909873,0.0462451797,0.040474085,0.0358729979,0.3504113662,-0.2563992752,-0.0071992915,-0.1476512457,0.4350777764,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
67,4,0.2281303086,-0.2396389033,-0.0803932323,0.1904284059,0.0426618228,0.170807508,-0.1868140988,-0.2039312369,-0.4914009368,-0.004434059,0.4777756761,0.1849258263,-0.0502477832,0.1464302971,-0.273328497,-0.1990232604,0.1815155671,-0.2436233769,0.2549154805,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
68,6,0.2273074792,-0.0519118148,0.2936265154,0.0814768116,-0.3307939625,-0.2829293354,-0.1290102824,0.1921722178,0.1941044843,-0.3826637919,0.2687280686,-0.027013368,0.1139558952,-0.4731414388,0.2871371402,-0.0893981496,-0.2377613067,0.051757008,-0.4222759248,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
69,2,0.2271247882,-0.4957911394,0.082581852,-0.1385470142,-0.0381393214,-0.2138204113,-0.1474610608,0.3072576142,0.4917816493,-0.1281349981,0.0898916693,0.2210916139,0.3071674256,-0.0695945928,0.2383678621,-0.1178129752,0.283058744,-0.1665726181,0.1702528459,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,4,0.2264969115,-0.3826140473,0.1577131728,0.1005005835,-0.3598535665,-0.1080137634,-0.350726623,-0.0647817302,-0.1976105123,-0.0189007081,-0.1241369713,-0.2470353788,0.4274596314,-0.0117900808,0.3552808431,-0.0687920782,0.2465275152,-0.039750968,0.2698385183,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
71,3,0.2262992872,-0.0963832835,-0.3130709576,0.2190938203,0.2346310755,0.0014435326,0.3137065734,-0.421171079,0.2497424396,-0.0510294759,-0.317851726,0.0603898285,0.3468601692,0.1468585923,0.3503521052,0.0391081962,0.253541981,-0.0535038067,-0.1351460051,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
72,5,0.2261265017,0.184581511,0.0449018545,0.3065681569,-0.0945223905,0.2262957456,-0.0882616571,-0.2987397771,-0.1921291996,0.286593811,0.3968076992,-0.4592915908,-0.0516813077,-0.4152060163,0.2412271081,0.2302848004,0.0219435338,-0.2070606872,-0.0319529576,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
73,4,0.2252802599,-0.2438497298,-0.1300972411,0.207648986,-0.2743418312,-0.0175852184,-0.3021037096,0.0842295708,0.1892560397,-0.1242047899,0.0720124022,-0.3791890619,0.0046978576,0.4477574947,0.1917477672,0.1419643705,-0.1772718758,0.2831181259,0.3744579542,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
74,4,0.2252785691,-0.0670214966,-0.2126448944,-0.4601100411,-0.0877799465,0.3458413155,0.206269574,-0.1149717377,-0.0882566635,0.3238335399,-0.4797122943,-0.2826795142,0.1444852292,-0.1934966293,0.4247010195,-0.224551578,-0.4578862721,0.0715106877,-0.1331380057,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
75,5,0.2252450454,-0.3876813798,-0.1583068723,-0.2850844458,0.3623186956,-0.4083068733,0.0684684506,0.0812573085,0.2697136472,-0.0739219759,-0.3566206562,-0.0863273779,0.2108602994,-0.0018296016,-0.1725540762,-0.0530138867,-0.2735335678,0.3559403237,0.1899524571,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
76,3,0.2250901412,-0.1255858853,0.2504832476,0.1803413397,-0.2420126064,0.0328007282,-0.2829910578,0.2579874273,-0.0170189893,0.4241157275,0.0844087004,-0.2421091095,-0.1396871908,0.4108299597,0.0328007759,0.003616693,0.4108299995,0.4829810583,0.0036167044,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
77,4,0.2249651141,0.1130721152,0.0088124816,-0.5011995336,0.2494859272,0.4618273987,-0.1806634923,0.0378991214,-0.32281265,0.3309053581,-0.482151811,-0.1842260356,-0.108964571,-0.1384637783,0.2600163609,-0.0748119865,0.0713790035,-0.1379704102,-0.0779340408,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
